Species,Name,optimal_temp_c,optimal_humidity_pct,canopy_area_sqm,carbon_sequestration_kg_yr,o2_generation_kg_yr,cost_per_tree_inr,cost_per_sqm_shade_inr,ahmedabad_suitability,notes
Shorea robusta,Sal,30,60,150,246.67,80.65,1500,10,Suitable,
Tectona grandis,Segun,30,60,150,67.41,61.61,1800,12,Suitable,
Terminalia tomentosa,Asna,30,60,150,80.39,86.25,1200,8,Suitable,
Anogeissus latifolia,Dhau,25,50,75,61.77,176.98,1000,13.33,Suitable,
Lannea coromandelica,Anjan,30,60,75,34.5,120.97,900,12,Suitable,
Azadirachta indica,Neem,30,55,150,57.92,77.29,800,5.33,Suitable,Excellent drought tolerance; widely used in Ahmedabad
Madhuca latifolia,Mahua,30,50,75,37.98,165.77,1600,21.33,Suitable,
Borassus flabelliformis,Palmyra Palm,30,60,150,38.14,108.65,3000,20,Suitable,
Acacia arabica,Babul,32.5,40,35,23.08,336.04,600,17.14,Suitable,
Butea monosperma,Flame of the Forest,30,60,35,13.8,230.45,900,25.71,Suitable,
Murraya koenigii,Curry tree,27.5,60,7.5,2.28,6.09,600,80,Suitable,
Albizia saman,Shirish,30,50,200,15.72,41.97,1800,9,Suitable,
Mangifera indica,Mango,30,50,300,69.94,186.74,1800,6,Suitable,
Tamarindus indica,Tentul,27.5,60,400,160.83,429.42,2500,6.25,Suitable,Excellent riverfront species; large canopy
Bombax ceiba,Shimul,30,60,200,21.81,58.23,1400,7,Suitable,
Aegle marmelos,Bel,30,60,300,136.52,364.51,1500,5,Suitable,
Terminalia arjuna,Arjun,30,50,150,14.87,39.7,1400,9.33,Suitable,Native riverine species; ideal for riverfront
Delonix regia,Krishnachura,30,60,300,75.02,200.3,1200,4,Suitable,Popular street tree in Gujarat; seasonal shade
Artocarpus heterophyllus,Jackfruit,30,55,75,12.42,13.16,1500,20,Suitable,
Swietenia mahagoni,Mahogany,30,60,300,31.29,83.54,2200,7.33,Suitable,
Terminalia catappa,Kath badam,30,50,75,14.29,38.15,1200,16,Suitable,
Psidium guajava,Guava,30,60,150,50.46,134.73,800,5.33,Suitable,
Acacia auriculacformis,Akashmoni,30,60,150,84.34,225.19,700,4.67,Suitable,
Alstonia scholaris,Chatim,30,60,75,4.64,12.39,1100,14.67,Suitable,
Ziziphus mauritiana,Kul,30,60,75,11.19,29.88,700,9.33,Suitable,
Dalbergia sissoo,Shishu,30,60,150,12.38,33.05,1000,6.67,Suitable,
Syzygium samarangense,Jamrul,30,60,15,1.58,4.22,1000,66.67,Suitable,
Santalum album,Sandal,27.5,60,7.5,0.27,0.72,5000,666.67,Suitable,
Peltophorum pterocarpum,Radhachura,30,60,150,15.3,40.85,1000,6.67,Suitable,
Polyalthia longifolia,Debdaru,25,50,75,12.05,32.17,900,12,Suitable,
Borassus flabellifer,Sugar palm,30,60,300,21.1,56.34,3000,10,Suitable,
Areca catechu,Betel palm or Supari,30,60,300,148.11,395.45,1200,4,Suitable,
Ficus religiosa,Peepul,30,60,300,35.79,95.56,1200,4,Suitable,
Ficus benghalensis,Banyan,30,60,300,8.31,22.19,2000,6.67,Suitable,Large root system; plan spacing carefully
